iter	Passed	Remaining
0	1	138
1	2	143
2	4	142
3	5	136
4	7	139
5	9	142
6	10	145
7	12	145
8	14	143
9	15	142
10	17	143
11	19	142
12	21	141
13	23	142
14	25	143
15	27	143
16	29	143
17	31	142
18	32	140
19	34	139
20	37	141
21	39	139
22	41	137
23	43	136
24	44	134
25	46	132
26	48	131
27	50	129
28	52	128
29	55	129
30	57	127
31	59	125
32	61	123
33	62	122
34	65	120
35	67	119
36	69	117
37	71	115
38	72	113
39	74	112
40	76	110
41	77	107
42	80	106
43	82	104
44	84	103
45	86	101
46	88	99
47	90	98
48	92	96
49	94	94
50	96	92
51	98	90
52	100	88
53	102	87
54	103	84
55	105	82
56	108	81
57	110	80
58	113	78
59	115	77
60	118	75
61	121	74
62	124	73
63	126	71
64	128	69
65	130	67
66	132	65
67	134	63
68	136	61
69	139	59
70	141	57
71	143	55
72	145	53
73	146	51
74	149	49
75	151	47
76	153	45
77	155	43
78	157	41
79	159	39
80	161	37
81	163	35
82	165	33
83	167	31
84	169	29
85	171	27
86	173	25
87	175	23
88	177	21
89	179	19
90	182	18
91	183	15
92	185	13
93	187	11
94	189	9
95	191	7
96	193	5
97	195	3
98	197	1
99	199	0
